en,es,i18n_id,zh
Board Line 1 for San Leandro BART. Transfer to Line 10 for areas beyond Davis St.,Suba a la l<0x00ED>nea 1 hacia San Leandro BART. Haga el transbordo a la l<0x00ED>nea 10 para ir a sitios m<0x00E1>s all<0x00E1> de Davis St.,su16_7,"<0x642D><0x4E58>1<0x8DEF><0x53BB><0x5F80> San Leandro BART <0x7AD9>, <0x8F6C><0x4E58>10<0x8DEF><0x53BB><0x5F80> Davis St. <0x4EE5><0x5357><0x7684><0x5730><0x533A><0x3002>"
Board Line 1 for downtown Oakland. Transfer to Line 6 on Broadway for Telegraph Ave.,Suba a la l<0x00ED>nea 1 hacia downtown Oakland. Haga el transbordo a la l<0x00ED>nea 6 en Broadway para ir hacia Telegraph Ave.,su16_8,"<0x642D><0x4E58>1<0x8DEF><0x53BB><0x5F80>Oakland<0x5E02><0x4E2D><0x5FC3><0x65B9><0x5411>, <0x5728> Broadway <0x4E0A><0x8F6C><0x4E58>6<0x8DEF><0x53BB><0x5F80> Telegraph Ave. <0x3002>"
Board Line 1 on 11th St. for International Blvd. Transfer at San Leandro BART to Line 10 for East 14th St.,Suba a la l<0x00ED>nea 1 en 11th St. para ir hacia International Blvd.  Haga el transbordo a la l<0x00ED>nea 10 en San Leandro BART para ir hacia East 14th St.,su16_9,<0x4ECE> 11th St. <0x4E0A><0x642D><0x4E58>1<0x8DEF><0x53BB><0x5F80>I nternational Blvd.<0xFF0C><0x5728> San Leandro BART <0x7AD9><0x8F6C><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0x3002>
Board Line 1 on 11th St. for International Blvd. Transfer to Line 10 at San Leandro BART for East 14th St.,Suba a la l<0x00ED>nea 1 en 11th St. para ir hacia International Blvd.  Haga el transbordo a la l<0x00ED>nea 10 en San Leandro BART para ir hacia East 14th St.,su16_10,<0x4ECE> 11th St. <0x4E0A><0x642D><0x4E58>1<0x8DEF><0x53BB><0x5F80> International Blvd.<0xFF0C><0x5728> San Leandro BART <0x7AD9><0x8F6C><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0x3002>
Board Line 10 (which stops on the other lane) for Mission Blvd. and East 14th St. north of downtown Hayward.,Suba a la l<0x00ED>nea 10 (que se para en el otro carril) para ir hacia Mission Blvd. y East 14th St. al norte del centro de Hayward.,su16_11,<0x642D><0x4E58>10<0x8DEF><0xFF08><0x5728><0x53E6><0x4E00><0x6761><0x516C><0x4EA4><0x8F66><0x9053><0x505C><0x7559><0xFF09><0x53BB><0x5F80> Mission Blvd. <0x548C> East 14th St.<0xFF0C>Hayward<0x5E02><0x4E2D><0x5FC3><0x5317><0x90E8><0x3002>
Board Line 10 at the stop behind this one for East 14th St. south of downtown San Leandro.,Suba a la l<0x00ED>nea 10 en la parada que se encuentra detr<0x00E1>s de <0x00E9>sta para ir hacia East 14th St. al sur del centro de San Leandro.,su16_12,<0x4ECE><0x4E0B><0x4E00><0x7AD9><0x642D><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0xFF0C>San Leandro <0x5E02><0x4E2D><0x5FC3><0x5357><0x90E8><0x3002>
Board Line 10 here for East 14th St. Transfer at San Leandro BART to Line 1 for International Blvd.,Suba a la l<0x00ED>nea 10 aqu<0x00ED> para ir hacia East 14th St. Haga el transbordo a la l<0x00ED>nea 1 en San Leandro BART para ir hacia International Blvd.,su16_13,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0xFF0C><0x5728> San Leandro BART <0x7AD9><0x8F6C><0x4E58>1<0x8DEF><0x53BB><0x5F80> International Blvd.<0x3002>
Board Line 10 here for East 14th St. south of Davis St.,Suba a la l<0x00ED>nea 10 aqu<0x00ED> para ir hacia East 14th St. al sur de Davis St.,su16_14,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>10<0x8DEF><0x53BB><0x5F80> East 14th St.<0xFF0C> Davis St. <0x4EE5><0x5357><0x3002>
Board Line 12 at 12th St. for Oakland Amtrak.,Suba a la l<0x00ED>nea 12 en 12th St. para ir hacia Oakland Amtrak.,su16_15,<0x4ECE> 12th St. <0x642D><0x4E58>12<0x8DEF><0x53BB><0x5F80> Oakland Amtrak<0x3002>
Board Line 12 for Oakland Amtrak.,Suba a la l<0x00ED>nea 12 para ir hacia Oakland Amtrak.,su16_16,<0x642D><0x4E58>12<0x8DEF><0x53BB><0x5F80>Oakland Amtrak<0x3002>
"Board Line 12 here for Oakland Amtrak, or board line 72, 72M, or 72R on T.L. Berkley Way (20th St.) for stops on Broadway.","Suba a la l<0x00ED>nea 12 aqu<0x00ED> para ir hacia Oakland Amtrak, o suba a la l<0x00ED>nea 72, 72M, o 72R en T.L. Berkley Way (20th St.) para tener paradas en Broadway.",su16_17,<0x5728><0x6B64><0x5904><0x642D><0x4E58>12<0x8DEF><0x53BB><0x5F80> Oakland Amtrak<0x3002><0x6216><0x8005><0x4ECE> T.L. Berkley Way (20th St.) <0x4E0A><0x642D><0x4E58>72<0x3001>72M<0x3001><0x6216>72R<0x8DEF><0x53BB><0x5F80> Broadway <0x4E0A><0x7684><0x7AD9><0x70B9><0x3002> 
Board Line 12 on Broadway.,Suba a la l<0x00ED>nea 12 en Broadway.,su16_18,<0x4ECE>Broadway<0x4E0A><0x642D><0x4E58>12<0x8DEF><0x3002>
Board Line 216 to Ohlone College Newark Campus here. Line 216 to Union City BART will no longer stop here. Board Line 216 to Union City BART at the stop in front of this stop.,Suba a la l<0x00ED>nea 216 aqu<0x00ED> para ir al Campus de Newark de Ohlone College. La l<0x00ED>nea 216 a Union City BART ya no se parar<0x00E1> aqu<0x00ED>. Suba a la l<0x00ED>nea 216 a Union City BART en la parada que se encuentra al frente de <0x00E9>sta.,su16_19,<0x5728><0x6B64><0x5904><0x642D><0x4E58>216<0x8DEF><0x53BB><0x5F80> Ohlone College Newark Campus<0x3002><0x53BB><0x5F80> Union City BART <0x7AD9><0x7684>216<0x8DEF><0x4ECA><0x540E><0x4E0D><0x4F1A><0x5728><0x6B64><0x7AD9><0x505C><0x7559><0x3002><0x4ECE><0x672C><0x7AD9><0x7684><0x524D><0x4E00><0x7AD9><0x642D><0x4E58>216<0x8DEF><0x53BB><0x5F80> Union City BART <0x7AD9><0x3002>
Board Line 6 for Telegraph Ave. on Center St. at Shattuck Ave.,Suba a la l<0x00ED>nea 6 hacia Telegraph Ave. en Center St. con Shattuck Ave.,su16_20,<0x4ECE> Center St. <0x4E0A><0x7684> Shattuck Ave <0x7AD9><0x642D><0x4E58>6<0x8DEF><0x53BB><0x5F80> Telegraph Ave.<0x3002>
Board Line 6 on Broadway for Telegraph Ave.,Suba a la l<0x00ED>nea 6 en Broadway para ir hacia Telegraph Ave.,su16_21,<0x5728> Broadway <0x4E0A><0x642D><0x4E58>6<0x8DEF><0x53BB><0x5F80> Telegraph Ave. <0x3002>
Board Line 90 here for 85th Ave. and Coliseum BART.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 85th Ave. y Coliseum BART.,su16_22,<0x5728><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x548C> Coliseum BART <0x7AD9><0x3002>
Board Line 90 here for 85th Ave. and Coliseum BART. Transfer there to Line 98 for Oakport St. and Edgewater Dr.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 85th Ave. y Coliseum BART. Haga el transbordo a la l<0x00ED>nea 98 aqu<0x00ED> para ir hacia Oakport St. y Edgewater Dr.,su16_23,<0x5728><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x548C> Coliseum BART <0x7AD9><0x3002><0x4ECE><0x90A3><0x8F6C><0x4E58>98<0x8DEF><0x53BB><0x5F80> Oakport St. <0x548C> Edgewater Dr.<0x3002>
Board Line 90 here for 85th Ave. or 90th Ave.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 85th Ave. o 90th Ave.,su16_24,<0x4ECE><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x6216> 90th Ave.<0x3002>
Board Line 90 here for 85th Ave. or 90th Ave. Board Line 98 across the street for Edgewater Dr. or 98th Ave.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 85th Ave. o 90th Ave. Suba a la l<0x00ED>nea 98 al otro lado de la calle para ir hacia Edgewater Dr. o 98th Ave.,su16_25,<0x4ECE><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x6216> 90th Ave.<0x3002><0x4ECE><0x8857><0x5BF9><0x9762><0x642D><0x4E58>98<0x8DEF><0x53BB><0x5F80> Edgewater Dr. <0x6216> 98th Ave.<0x3002>
"Board Line 90 here for 90th Ave. , 85th Ave., or Coliseum BART.","Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 90th Ave. , 85th Ave. o Coliseum BART.",su16_26,<0x4ECE><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x6216> Coliseum BART <0x7AD9><0x3002>
Board Line 90 here for 90th Ave. and MacArthur Blvd. Transfer at MacArthur Blvd. to Line 98 for 98th Ave.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia 90th Ave. y MacArthur Blvd. Haga el transbordo a la l<0x00ED>nea 98 en MacArthur Blvd. para ir hacia 98th Ave.,su16_27,<0x4ECE><0x6B64><0x5904><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 90th Ave. <0x548C> MacArthur Blvd.<0xFF0C><0x5728> MacArthur Blvd. <0x8F6C><0x4E58>98<0x8DEF><0x53BB><0x5F80> 98th Ave.<0x3002>
Board Line 90 here for Coliseum BART.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia Coliseum BART.,su16_28,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> Coliseum BART <0x7AD9><0x3002>
Board Line 90 here for Coliseum BART. Transfer there to Line 98 for Oakport St. and Edgewater Dr.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia Coliseum BART. Haga el transbordo a la l<0x00ED>nea 98 ah<0x00ED> para ir hacia Oakport St. y Edgewater Dr.,su16_29,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> Coliseum BART <0x7AD9><0x3002><0x4ECE><0x90A3><0x8F6C><0x4E58>98<0x8DEF><0x53BB><0x5F80> Oakport St. <0x548C> Edgewater Dr.<0x3002>
Board Line 90 here for MacArthur Blvd. Transfer there to Line 98 for 98th Ave.,Suba a la l<0x00ED>nea 90 aqu<0x00ED> para ir hacia MacArthur Blvd. Haga el transbordo a la l<0x00ED>nea 98 ah<0x00ED> para ir hacia 98th Ave.,su16_30,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> MacArthur Blvd.<0x3002> <0x4ECE><0x90A3><0x8F6C><0x4E58>98<0x8DEF><0x53BB><0x5F80> 98th Ave.<0x3002>
Board Line 98 here for Edgewater Dr. or 98th Ave. Board Line 90 across the street for 85th Ave. or 90th Ave. ,Suba a la l<0x00ED>nea 98 aqu<0x00ED> para ir hacia Edgewater Dr. o 98th Ave. Suba a la l<0x00ED>nea 90 al otro lado de la calle para ir hacia 85th Ave. o 90th Ave.,su16_31,<0x4ECE><0x672C><0x7AD9><0x642D><0x4E58>98<0x8DEF><0x53BB><0x5F80> Edgewater Dr. <0x6216> 98th Ave.<0x3002><0x4ECE><0x8857><0x5BF9><0x9762><0x642D><0x4E58>90<0x8DEF><0x53BB><0x5F80> 85th Ave. <0x6216> 90th Ave.<0x3002>
Board Line NL for stops along MacArthur Blvd.,Suba a la l<0x00ED>nea NL para ir hacia las paradas a lo largo de MacArthur Blvd.,su16_32,<0x642D><0x4E58>NL<0x7EBF><0x53BB><0x5F80> MacArthur Blvd. <0x4E0A><0x7684><0x7AD9><0x70B9><0x3002>
Board Lines 12 and 31 on Broadway.,Suba a las l<0x00ED>neas 12 y 31 en Broadway.,su16_33,<0x4ECE> Broadway <0x4E0A><0x642D><0x4E58>12<0x548C>13<0x8DEF><0x3002>
"Board lines 72, 72M, or 72R on Broadway at 3rd St.","Suba a las l<0x00ED>neas 72, 72M o 72R en Broadway con 3rd St.",su16_34,<0x4ECE>Broadway<0x4E0A><0x7684>3rd St.<0x642D><0x4E58>72<0x3001>72M<0x3001><0x6216>72R<0x8DEF><0x3002>
"For International Blvd., take any line south on Broadway to 11th St. and transfer to Line 1.","Para ir hacia International Blvd., s<0x00FA>base a cualquier l<0x00ED>nea al sur de Broadway hacia 11th St. y haga el transbordo a la l<0x00ED>nea 1.",su16_35,<0x82E5><0x53BB><0x5F80> International Blvd.<0xFF0C><0x5148><0x5728> Broaway <0x4E0A><0x642D><0x4E58><0x4EFB><0x4E00><0x5357><0x4E0B><0x7EBF><0x8DEF><0x81F3> 11th St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>1<0x8DEF><0x3002>
"For International Blvd., take any line to 11th St. and transfer to Line 1. For Oakland Amtrak, take Line 12.","Para ir hacia International Blvd., s<0x00FA>base a cualquier l<0x00ED>nea hacia 11th St. y haga el transbordo a la l<0x00ED>nea 1. Para ir hacia Oakland Amtrak, suba a la l<0x00ED>nea 12.",su16_36,<0x82E5><0x53BB><0x5F80> International Blvd.<0xFF0C><0x5148><0x642D><0x4E58><0x4EFB><0x4E00><0x7EBF><0x8DEF><0x81F3> 11th St.<0xFF0C><0x7136><0x540E><0x8F6C><0x4E58>1<0x8DEF><0x3002><0x82E5><0x53BB><0x5F80> Oakland Amtrak<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0x3002>
"For MacArthur Blvd., board Line 12 and transfer to line 57 or NL at Grand Ave. & MacArthur Blvd.","Para ir hacia MacArthur Blvd., suba a la l<0x00ED>nea 12 y haga el transbordo a la l<0x00ED>nea 57 o NL en Grand Ave. con MacArthur Blvd.",su16_37,<0x82E5><0x53BB><0x5F80>MacArthur Blvd.<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Grand Ave. & MacArthur Blvd. <0x8F6C><0x4E58>57<0x8DEF><0x6216>NL<0x7EBF><0x3002>
"For MacArthur Blvd., board Line 12 and transfer to line 57 or NL at Grand Ave. & MacArthur Blvd. For San Pablo Ave., board Lline 12 or walk to 3rd St. and Broadway for lines 72, 72M, or 72R.","Para ir hacia MacArthur Blvd., suba a la l<0x00ED>nea 12 y haga el transbordo a la l<0x00ED>nea 57 o NL en Grand Ave. con MacArthur Blvd. Para ir hacia San Pablo Ave., suba a la l<0x00ED>nea 12 o camine hasta 3rd St. con Broadway para las l<0x00ED>neas 72, 72M o 72R.",su16_38,<0x82E5><0x53BB><0x5F80> MacArthur Blvd.<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Grand Ave. & MacArthur Blvd. <0x8F6C><0x4E58>57<0x8DEF><0x6216>NL<0x7EBF><0x3002><0x82E5><0x53BB> San Pablo Ave.<0xFF0C><0x8BF7><0x642D><0x4E58>12<0x8DEF><0x6216><0x8005><0x6B65><0x884C><0x81F3> 3rd St. <0x548C> Broadway <0x642D><0x4E58>72<0x3001>72M<0x3001><0x6216>72R<0x8DEF><0x3002>
"For Oakland Amtrak, board Line 12 on Broadway at 12th St.","Para ir hacia Oakland Amtrak, suba a la l<0x00ED>nea 12 en Broadway con 12th St.",su16_39,<0x82E5><0x53BB><0x5F80> Oakland Amtrak<0xFF0C><0x8BF7><0x4ECE> Broadway <0x4E0A><0x7684> 12th St. <0x7AD9><0x642D><0x4E58>12<0x8DEF><0x3002>
Line 10 replaces Lines 1 and 99 here. Check the destination sign for buses toward either San Leandro or Hayward BART.,La l<0x00ED>nea 10 reemplaza aqu<0x00ED> a las l<0x00ED>neas 1 y 99. Compruebe la se<0x00F1>al de destinaci<0x00F3>n para los autobuses que van hacia San Leandro BART o Hayward BART.,su16_40,10<0x8DEF><0x5C06><0x66FF><0x4EE3><0x672C><0x7AD9><0x7684>1<0x8DEF><0x548C>99<0x8DEF><0x3002><0x82E5><0x60F3><0x642D><0x4E58><0x53BB><0x5F80> San Leandro <0x6216> Hayward BART <0x65B9><0x5411><0x7684><0x516C><0x8F66><0xFF0C><0x8BF7><0x67E5><0x770B><0x76EE><0x7684><0x7AD9><0x6807><0x793A><0x724C><0x3002>
Line 10 will operate on East 14th St. and Mission Blvd. to Hayward BART. Transfer there to Line 99 for areas south of Hayward BART.,La l<0x00ED>nea 10 operar<0x00E1> en East 14th St. y Mission Blvd. hacia Hayward BART. Haga el transbordo ah<0x00ED> a la l<0x00ED>nea 99 para ir a sitios al sur de Hayward BART.,su16_41,10<0x8DEF><0x4F1A><0x5728> East 14th St. <0x548C> Mission Blvd. <0x4E0A><0x8FD0><0x884C><0xFF0C><0x5E76><0x5F00><0x5F80> Hayward BART <0x7AD9><0x3002><0x4ECE><0x90A3><0x8F6C><0x4E58>99<0x8DEF><0x53BB> ayward BART <0x7AD9><0x4EE5><0x5357><0x7684><0x5730><0x533A><0x3002>
"Line 10 will operate on East 14th St. to Bay Fair BART, continuing to Hayward BART.","La l<0x00ED>nea 10 operar<0x00E1> en East 14th St. hasta Bay Fair BART, y continuando hasta Hayward BART.",su16_42,10<0x8DEF><0x4F1A><0x5728> East 14th St. <0x4E0A><0x8FD0><0x884C><0xFF0C><0x5E76><0x5F00><0x5F80> Bay Fair BART <0x7AD9><0xFF0C><0x7136><0x540E><0x7EE7><0x7EED><0x5F00><0x81F3> Hayward BART <0x7AD9><0x3002>
Line 10 will operate on East 14th St. to San Leandro BART. Transfer there to Line 1 for International Blvd.,La l<0x00ED>nea 10 operar<0x00E1> en East 14th St. hasta San Leandro BART. Haga el transbordo ah<0x00ED> a la l<0x00ED>nea 1 para ir hacia International Blvd.,su16_43,10<0x8DEF><0x4F1A><0x5728> East 14th St. <0x4E0A><0x8FD0><0x884C><0xFF0C><0x5E76><0x5F00><0x5F80> San Leandro BART <0x7AD9><0xFF0C><0x4ECE><0x90A3><0x8F6C><0x4E58>1<0x8DEF><0x53BB><0x5F80> International Blvd.<0x3002>
